Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
18,11,2021/2/3,22-361,WAS,@,MIA,W (+3),1,35:24:00,3,11,0.273,0,2,0,5,9,0.556,3,6,9,5,1,0,3,1,11,7.9,5,0.368,0.273,8.3,18.5,13.1,21.9,1.4,0,16.7,21.7,88,106,7.9,-5
19,12,2021/2/5,22-363,WAS,@,MIA,L (-27),1,27:00:00,4,13,0.308,2,6,0.333,2,2,1,1,1,2,3,0,0,2,1,12,5.2,-25,0.432,0.385,3.5,4.8,4,20.6,0,0,12.6,24.2,88,130,5.2,-6.4
20,13,2021/2/7,22-365,WAS,@,CHO,L (-22),1,22:55,1,6,0.167,1,1,1,2,2,1,2,4,6,0,1,0,0,0,5,4.8,-29,0.363,0.25,7.9,15.5,11.7,0,2.1,0,0,12.4,94,116,4.8,-5.6
21,14,2021/2/8,23-000,WAS,@,CHI,W (+4),1,36:19:00,7,13,0.538,1,3,0.333,4,5,0.8,0,10,10,0,0,0,2,3,19,12.1,-2,0.625,0.577,0,28.1,13.6,0,0,0,11.6,19.8,107,101,12.1,-2.7
22,15,2021/2/10,23-002,WAS,,TOR,L (-22),1,32:17:00,6,14,0.429,1,5,0.2,2,2,1,2,5,7,3,1,0,2,3,15,10.4,-11,0.504,0.464,6.1,17.3,11.3,13.5,1.4,0,11.8,21.4,103,132,10.4,-5.5
23,16,2021/2/12,23-004,WAS,,NYK,L (-18),1,32:45:00,4,11,0.364,0,2,0,2,2,1,0,5,5,0,0,0,1,3,10,3.2,-25,0.421,0.364,0,14.1,6.6,0,0,0,7.8,16.9,78,110,3.2,-10.5
24,17,2021/2/14,23-006,WAS,,BOS,W (+13),1,22:18,5,9,0.556,0,2,0,5,5,1,1,3,4,1,1,0,1,2,15,12.2,13,0.67,0.556,4.8,10.9,8.3,9.7,2.1,0,8.2,22.9,128,89,12.2,5.2
25,18,2021/2/15,23-007,WAS,,HOU,W (+12),1,36:40:00,4,8,0.5,0,2,0,5,6,0.833,1,8,9,3,3,0,1,3,13,14.6,9,0.611,0.5,3.1,22.8,13.4,9.2,3.6,0,8.6,12.6,130,105,14.6,0.1
26,19,2021/2/17,23-009,WAS,,DEN,W (+2),1,29:27:00,5,11,0.455,1,4,0.25,3,3,1,0,4,4,3,1,0,0,0,14,12.6,-6,0.568,0.5,0,14.2,7.5,13.6,1.6,0,0,17.6,128,127,12.6,-0.4
27,20,2021/2/20,23-012,WAS,@,POR,W (+7),1,36:55:00,5,12,0.417,0,2,0,7,8,0.875,1,6,7,0,3,0,1,4,17,13.1,11,0.548,0.417,2.9,13.2,8.8,0,3.7,0,6.1,18.1,115,102,13.1,-1.6
28,21,2021/2/22,23-014,WAS,@,LAL,W (+3),1,37:14:00,6,8,0.75,1,2,0.5,2,3,0.667,0,6,6,0,1,0,1,4,15,11.6,2,0.805,0.813,0,15.3,9.1,0,1.2,0,9.7,11.6,138,106,11.6,0
29,22,2021/2/23,23-015,WAS,@,LAC,L (-19),1,36:29:00,4,8,0.5,2,2,1,0,0,,1,8,9,2,0,0,2,2,10,7.7,-6,0.625,0.625,2.9,28.4,14.4,6.3,0,0,20,12.2,102,135,7.7,-4.3
30,23,2021/2/25,23-017,WAS,@,DEN,W (+2),1,38:11:00,9,16,0.563,1,4,0.25,1,2,0.5,2,3,5,2,0,0,1,0,20,14.7,6,0.592,0.594,6,8.6,7.3,8.5,0,0,5.6,20.8,120,120,14.7,-0.9
31,24,2021/2/27,23-019,WAS,,MIN,W (+16),1,26:13:00,3,9,0.333,0,3,0,0,0,,1,5,6,2,0,0,1,3,6,2.3,4,0.333,0.333,3.5,17,10.3,9.5,0,0,10,14.2,80,103,2.3,-9.4
32,25,2021/2/28,23-020,WAS,@,BOS,L (-1),1,25:08:00,1,5,0.2,0,1,0,0,0,,1,5,6,1,1,0,1,1,2,1.4,-1,0.2,0.2,4.4,22.7,13.5,5.3,1.9,0,16.7,10.3,55,109,1.4,-8.2
33,26,2021/3/2,23-022,WAS,,MEM,L (-14),1,25:19:00,2,7,0.286,1,3,0.333,2,4,0.5,0,2,2,1,1,0,0,2,7,3.6,-26,0.4,0.357,0,9,4.7,5.1,1.8,0,0,14.6,85,120,3.6,-7.4
34,27,2021/3/4,23-024,WAS,,LAC,W (+2),1,32:06:00,3,6,0.5,1,2,0.5,2,4,0.5,1,2,3,1,1,0,2,5,9,4.2,11,0.58,0.583,3.3,7.5,5.2,4.2,1.5,0,20.5,12.6,99,123,4.2,-7.5
35,28,2021/3/10,23-030,WAS,@,MEM,L (-15),1,25:23:00,3,10,0.3,1,3,0.333,4,4,1,0,6,6,0,0,0,0,0,11,7,-17,0.468,0.35,0,24.1,11.5,0,0,0,0,19.2,95,119,7,-6.8
36,29,2021/3/12,23-032,WAS,,PHI,L (-26),1,21:04,3,5,0.6,0,0,,3,4,0.75,0,0,0,0,2,0,1,1,9,6.9,-20,0.666,0.6,0,0,0,0,4.5,0,12.9,16.1,115,123,6.9,-1.5
37,30,2021/3/13,23-033,WAS,,MIL,L (-6),1,38:20:00,11,18,0.611,3,5,0.6,4,4,1,0,11,11,1,3,0,2,2,29,25,0,0.734,0.694,0,28.7,14.1,4.3,3.4,0,9.2,23,127,105,25,6.9
38,31,2021/3/15,23-035,WAS,,MIL,L (-11),1,36:45:00,9,18,0.5,4,9,0.444,0,0,,0,7,7,5,1,0,2,2,22,16.8,-7,0.611,0.611,0,22.9,11.6,20.3,1.2,0,10,23.4,106,122,16.8,1.4
39,32,2021/3/17,23-037,WAS,,SAC,L (-2),1,37:37:00,7,15,0.467,0,3,0,3,3,1,1,8,9,0,2,0,1,4,17,11.8,0,0.521,0.467,3,21.3,12.8,0,2.4,0,5.8,18.2,105,109,11.8,-2.9
40,33,2021/3/18,23-038,WAS,,UTA,W (+9),1,39:09:00,5,10,0.5,0,0,,2,3,0.667,0,7,7,0,0,0,3,1,12,5.3,0,0.53,0.5,0,18.3,9.5,0,0,0,20.9,15.2,81,115,5.3,-7.2
41,34,2021/3/21,23-041,WAS,@,BRK,L (-7),1,40:13:00,9,11,0.818,2,2,1,0,0,,1,9,10,0,0,0,1,2,20,17.5,4,0.909,0.909,3.4,25,15.3,0,0,0,8.3,13.5,160,121,17.5,4.8
42,35,2021/3/23,23-043,WAS,@,NYK,L (-18),1,34:10:00,5,13,0.385,1,3,0.333,0,0,,1,6,7,1,0,0,1,3,11,4.9,-7,0.423,0.423,3.8,19.6,12.3,4.5,0,0,7.1,17.8,85,134,4.9,-10.7
43,36,2021/3/25,23-045,WAS,@,NYK,L (-4),1,41:25:00,9,16,0.563,2,6,0.333,1,4,0.25,0,9,9,2,1,1,1,2,21,16.2,10,0.591,0.625,0,18.6,10.3,8.7,1.1,1.8,5.3,19.5,108,103,16.2,2.2
44,37,2021/3/27,23-047,WAS,,DET,W (+14),1,35:05:00,6,11,0.545,0,1,0,2,2,1,0,6,6,0,1,0,3,3,14,7.3,23,0.589,0.545,0,17.1,9,0,1.3,0,20.2,18,90,90,7.3,-5.5
45,38,2021/3/29,23-049,WAS,,IND,W (+8),1,36:25:00,12,24,0.5,0,1,0,2,2,1,0,8,8,3,0,0,3,0,26,15.5,2,0.523,0.5,0,21.1,11.5,10.1,0,0,10.8,29.4,102,115,15.5,-6.7
46,39,2021/3/30,23-050,WAS,,CHO,L (-10),1,40:19:00,12,25,0.48,1,2,0.5,5,5,1,1,3,4,3,0,0,2,2,30,18.2,-4,0.551,0.5,2.1,7.9,4.7,13.4,0,0,6.8,29.1,112,117,18.2,0.3
47,40,2021/4/1,23-052,WAS,@,DET,L (-29),1,30:13:00,5,12,0.417,0,0,,0,1,0,1,1,2,2,1,0,1,3,10,4.4,-21,0.402,0.417,3.8,3.5,3.6,9.9,1.5,0,7.4,19.9,80,120,4.4,-9.3
50,41,2021/4/7,23-058,WAS,@,ORL,W (+15),1,30:27:00,3,9,0.333,0,3,0,3,4,0.75,2,5,7,2,3,0,2,2,9,8,12,0.418,0.333,9.6,18.3,14.5,7.1,4.8,0,15.7,19.1,93,110,8,-8.6
51,42,2021/4/9,23-060,WAS,@,GSW,W (+3),1,37:49:00,9,16,0.563,1,2,0.5,3,4,0.75,1,4,5,1,0,0,3,1,22,13.2,13,0.619,0.594,2.9,11.5,7.2,4,0,0,14.5,22.4,105,109,13.2,-1.7
52,43,2021/4/10,23-061,WAS,@,PHO,L (-28),1,24:41:00,2,7,0.286,0,0,,2,2,1,1,6,7,0,0,0,3,0,6,1.4,-21,0.381,0.286,4.1,24.8,14.5,0,0,0,27.6,18.8,60,127,1.4,-14.2
53,44,2021/4/12,23-063,WAS,@,UTA,W (+4),1,30:09:00,2,7,0.286,0,1,0,0,0,,1,5,6,1,1,0,0,6,4,1.4,-4,0.286,0.286,3.8,17.7,11,3.6,1.6,0,0,10.2,78,120,1.4,-11.1
54,45,2021/4/14,23-065,WAS,@,SAC,W (+12),1,34:35:00,6,11,0.545,0,1,0,0,0,,2,2,4,0,2,0,3,2,12,6.9,-2,0.545,0.545,7.1,5.9,6.5,0,2.5,0,21.4,15.4,94,102,6.9,-5.1
55,46,2021/4/16,23-067,WAS,,NOP,W (+2),1,42:22:00,3,13,0.231,0,5,0,0,2,0,0,3,3,3,2,0,0,3,6,1.1,-11,0.216,0.231,0,6.9,3.7,9.1,2.2,0,0,14.1,52,101,1.1,-7.3
56,47,2021/4/17,23-068,WAS,,DET,W (+21),1,23:00,2,7,0.286,1,1,1,1,2,0.5,0,2,2,0,1,1,1,2,6,2,17,0.381,0.357,0,8.9,4.5,0,2,3.7,11.3,16.2,70,99,2,-8.2
61,48,2021/4/26,23-077,WAS,,SAS,L (-3),1,31:41:00,5,7,0.714,1,1,1,2,2,1,1,5,6,1,1,1,0,2,13,13.9,6,0.825,0.786,3.4,18.6,10.7,3.4,1.6,1.9,0,10.3,179,133,13.9,3.7
62,49,2021/4/28,23-079,WAS,,LAL,W (+9),1,29:32:00,4,8,0.5,0,1,0,4,4,1,0,1,1,2,1,0,0,3,12,9.5,8,0.615,0.5,0,3.1,1.8,8,1.6,0,0,14.1,139,111,9.5,0.8
63,50,2021/4/30,23-081,WAS,@,CLE,W (+29),1,22:33,3,8,0.375,1,1,1,4,4,1,1,4,5,1,1,0,0,1,11,9.8,4,0.564,0.438,5,17.4,11.6,5.4,2.1,0,0,18,130,92,9.8,0.5
64,51,2021/5/1,23-082,WAS,@,DAL,L (-1),1,28:34:00,7,11,0.636,1,2,0.5,3,5,0.6,1,1,2,0,0,0,2,3,18,10.1,-3,0.682,0.682,3.9,4.3,4.1,0,0,0,13.2,22.3,123,132,10.1,-2.9
65,52,2021/5/3,23-084,WAS,,IND,W (+13),1,31:19:00,12,19,0.632,1,2,0.5,2,2,1,1,6,7,2,0,1,2,0,27,21.1,20,0.679,0.658,3.8,18.8,12.1,6.9,0,1.9,9.1,25.9,121,122,21.1,-1.6
68,53,2021/5/8,23-089,WAS,@,IND,W (+1),1,34:56:00,6,13,0.462,0,3,0,1,1,1,1,5,6,1,0,1,1,2,13,8.1,3,0.484,0.462,2.7,14.3,8.4,3.8,0,2,6.9,15.9,100,113,8.1,-5.3
69,54,2021/5/10,23-091,WAS,@,ATL,L (-1),1,27:31:00,9,19,0.474,1,3,0.333,1,1,1,0,3,3,0,1,0,1,1,20,10.8,-4,0.514,0.5,0,11.1,5.4,0,1.7,0,4.9,31.3,94,123,10.8,-7.4
70,55,2021/5/12,23-093,WAS,@,ATL,L (-4),1,30:23:00,5,11,0.455,1,2,0.5,0,0,,2,4,6,3,0,0,0,2,11,9.2,-2,0.5,0.5,6,15.8,10.2,12.8,0,0,0,14.9,115,120,9.2,-2.3
71,56,2021/5/14,23-095,WAS,,CLE,W (+15),1,34:10:00,7,15,0.467,0,2,0,0,1,0,1,2,3,1,0,0,1,2,14,6.1,0,0.453,0.467,2.9,6.7,4.6,4.5,0,0,6.1,20,92,111,6.1,-9.4
